time,step,x,y,Ux,Uy,p
0.0,0,-0.3800000101327896,-0.0911250002682209,0.0,0.0,0.0
0.0,0,-0.3400000035762787,-0.09337499924004078,0.0,0.0,0.0
0.0,0,-0.29999999701976776,-0.0956250000745058,0.0,0.0,0.0
0.0,0,-0.25999999791383743,-0.09787500090897083,0.0,0.0,0.0
0.0,0,-0.2199999988079071,-0.10012499988079071,0.0,0.0,0.0
0.0,0,-0.17999999970197678,-0.10237500071525574,0.0,0.0,0.0
0.0,0,-0.13999999687075615,-0.10462499968707561,0.0,0.0,0.0
0.0,0,-0.09999999776482582,-0.10687499865889549,0.0,0.0,0.0
0.0,0,-0.05999999865889549,-0.10912499949336052,0.0,0.0,0.0
0.0,0,-0.019999999552965164,-0.11137500032782555,0.0,0.0,0.0
0.0,0,0.019999999552965164,-0.11362499929964542,0.0,0.0,0.0
0.0,0,0.05999999865889549,-0.1158749982714653,0.0,0.0,0.0
0.0,0,0.09999999776482582,-0.11812499724328518,0.0,0.0,0.0
0.0,0,0.13999999687075615,-0.12037499994039536,0.0,0.0,0.0
0.0,0,0.17999999970197678,-0.12262500263750553,0.0,0.0,0.0
0.0,0,0.2199999988079071,-0.12487500160932541,0.0,0.0,0.0
0.0,0,0.25999999791383743,-0.1271250005811453,0.0,0.0,0.0
0.0,0,0.29999999701976776,-0.12937499769032001,0.0,0.0,0.0
0.0,0,0.3400000035762787,-0.1316249966621399,0.0,0.0,0.0
0.0,0,0.3800000101327896,-0.13387499935925007,0.0,0.0,0.0
0.0,0,-0.3800000101327896,-0.07087500020861626,0.0,0.0,0.0
0.0,0,-0.3400000035762787,-0.0726250009611249,0.0,0.0,0.0
0.0,0,-0.29999999701976776,-0.07437499985098839,0.0,0.0,0.0
0.0,0,-0.25999999791383743,-0.07612499967217445,0.0,0.0,0.0
0.0,0,-0.2199999988079071,-0.07787500135600567,0.0,0.0,0.0
0.0,0,-0.17999999970197678,-0.07962500117719173,0.0,0.0,0.0
0.0,0,-0.13999999687075615,-0.08137499913573265,0.0,0.0,0.0
0.0,0,-0.09999999776482582,-0.08312499895691872,0.0,0.0,0.0
0.0,0,-0.05999999865889549,-0.08487499877810478,0.0,0.0,0.0
0.0,0,-0.019999999552965164,-0.086625000461936,0.0,0.0,0.0
0.0,0,0.019999999552965164,-0.08837500028312206,0.0,0.0,0.0
0.0,0,0.05999999865889549,-0.09012500010430813,0.0,0.0,0.0
0.0,0,0.09999999776482582,-0.0918749999254942,0.0,0.0,0.0
0.0,0,0.13999999687075615,-0.09362499974668026,0.0,0.0,0.0
0.0,0,0.17999999970197678,-0.09537500143051147,0.0,0.0,0.0
0.0,0,0.2199999988079071,-0.09712500125169754,0.0,0.0,0.0
0.0,0,0.25999999791383743,-0.0988750010728836,0.0,0.0,0.0
0.0,0,0.29999999701976776,-0.10062499903142452,0.0,0.0,0.0
0.0,0,0.3400000035762787,-0.10237499885261059,0.0,0.0,0.0
0.0,0,0.3800000101327896,-0.1041250005364418,0.0,0.0,0.0
0.0,0,-0.3800000101327896,-0.05062500014901161,0.0,0.0,0.0
0.0,0,-0.3400000035762787,-0.051875000819563866,0.0,0.0,0.0
0.0,0,-0.29999999701976776,-0.05312499962747097,0.0,0.0,0.0
0.0,0,-0.25999999791383743,-0.05437499936670065,0.0,0.0,0.0
